Ticker,Nome
SMRE11,Smart Real Estate
BMLC11,Bm Brascan Lajes Corporativas
EQIR11,Eqi Recebíveis Imobiliários
IAAG11,Inter Amerra - Fiagro
MCEM11,Mérito Cemitérios
BTWR11,Btowers
TMPS11,Itaú Tempus
OIAG11,Ourinvest Innovation
JPPA11,Jpp Allocation Mogno
IBCR11,Cri Integral Brei
VVCR11,V2 Recebíveis Imobiliários
RFOF11,Rb Capital I Fundo De Fundos
LKDV11,Development V1
NEXG11,Nex Crédito Fiagro Imobiliário
CPFF11,Capitânia Reit Fof
SNFZ11,Suno Fazendas Fiagro – Imobiliário
NEWU11,Newport Renda Urbana
EMET11,Emet Multiestratégia Fii
VANG11,Vang Infra
ERCR11,Estoque Residencial E Comercial Rj
ASRF11,Asa Retrofits I Fundo De Investimento Imobiliário
PNPR11,Panorama Properties
CFHI11,Cf2
PNCR11,Panorama Crédito Residencial Fii
PNRC11,Panorama Real Estate Crédito Fii
SNLG11,Suno Log Fun
